Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,s1_Introduced,Not defined,POINT,184.500,184.500,NA,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,1845,1845,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,191.100,193.400,2.300,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,1911,1934,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,214.800,222.700,7.900,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2148,2227,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,224.100,226.800,2.700,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2241,2268,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,235.800,237.900,2.100,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2358,2379,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,s1_Removed,Not defined,POINT,306.200,306.200,NA,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,3062,3062,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,s1_Introduced,Not defined,POINT,374.200,374.200,NA,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,3742,3742,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,424.000,428.200,4.200,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4240,4282,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,Investigation,Not defined,STATE,477.600,478.800,1.200,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4776,4788,,,,
n7-240821-114717,2024-08-24 10:53:01.243,,Media file,player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1059.500,1309.700,10.000,Subject,27.7,s1_Removed,Not defined,POINT,492.100,492.100,NA,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4921,4921,,,,
