Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,s1_Introduced,Not defined,POINT,184.800,184.800,NA,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,1848,1848,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Approach,Not defined,STATE,282.000,283.599,1.599,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2820,NA,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,283.600,284.300,0.700,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2836,2843,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,292.000,295.900,3.900,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2920,2959,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,s1_Removed,Not defined,POINT,305.400,305.400,NA,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3054,3054,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,s1_Introduced,Not defined,POINT,373.000,373.000,NA,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3730,3730,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,379.300,379.700,0.400,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3793,3797,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,381.200,384.200,3.000,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3812,3842,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,396.800,398.500,1.700,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3968,3985,,,,
n6-240821-100116,2024-08-24 09:39:08.403,,Media file,player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1082.600,1334.900,10.000,Subject,52.995,Investigation,Not defined,STATE,435.400,438.800,3.400,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,4354,4388,,,,
