Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,s1_Introduced,Not defined,POINT,183.500,183.500,NA,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,1835,1835,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,185.400,190.800,5.400,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,1854,1908,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,231.300,233.600,2.300,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2313,2336,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Approach,Not defined,STATE,234.700,235.599,0.899,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2347,NA,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,235.600,236.000,0.400,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2356,2360,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,239.000,240.600,1.600,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2390,2406,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,255.500,255.800,0.300,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2555,2558,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Approach,Not defined,STATE,256.700,257.799,1.099,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2567,NA,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,257.800,259.500,1.700,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2578,2595,,,,
n5-240821-085040,2024-08-23 21:57:19.733,,Media file,player #1:n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,0.0,1075.600,1324.000,10.000,Subject,369.084,Investigation,Not defined,STATE,260.200,267.300,7.100,n5-240821-085040\8_21_24_Hab_DisHab_P2C2-240821-081258_n5-240821-085040_Cam1.avi,2602,2673,,,,
