Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,s1_Introduced,,POINT,184.500,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,1845,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,191.100,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,1911,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,193.400,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,1934,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,214.800,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2148,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,222.700,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2227,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,224.100,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2241,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,226.800,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2268,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,235.800,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2358,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,237.900,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,2379,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,s1_Removed,,POINT,306.200,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,3062,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,s1_Introduced,,POINT,374.200,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,3742,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,424.000,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4240,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,428.200,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4282,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,START,477.600,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4776,NA,
n7-240821-114717,2024-08-24 10:53:01.243,,1059.500,Media file(s),player #1:n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,0.0,1309.700,10.000,Subject,Investigation,,STOP,478.800,n7-240821-114717\8_21_24_Hab_DisHab_P2C2-240821-081258_n7-240821-114717_Cam1.avi,4788,NA,
