Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,s1_Introduced,,POINT,182.400,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,1824,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,START,244.400,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2444,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,STOP,248.200,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2482,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,START,249.400,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2494,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,STOP,261.500,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2615,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Approach,,START,264.900,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2649,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Approach,,STOP,265.999,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,NA,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,START,266.000,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2660,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Investigation,,STOP,275.400,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2754,NA,
p7-240821-111323,2024-08-27 15:56:00.849,,1076.300,Media file(s),player #1:p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,0.0,1325.100,10.000,Subject,Approach,,START,283.700,p7-240821-111323\8_21_24_Hab_DisHab_P2C2-240821-081258_p7-240821-111323_Cam1.avi,2837,NA,
