Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,s1_Introduced,,POINT,184.800,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,1848,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Approach,,START,282.000,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2820,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Approach,,STOP,283.599,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,NA,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Investigation,,START,283.600,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2836,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Investigation,,STOP,284.300,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2843,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Investigation,,START,292.000,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2920,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Investigation,,STOP,295.900,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,2959,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,s1_Removed,,POINT,305.400,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3054,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,s1_Introduced,,POINT,373.000,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3730,NA,
n6-240821-100116,2024-08-24 09:39:08.403,,1082.600,Media file(s),player #1:n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,0.0,1334.900,10.000,Subject,Investigation,,START,379.300,n6-240821-100116\8_21_24_Hab_DisHab_P2C2-240821-081258_n6-240821-100116_Cam1.avi,3793,NA,
