Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,273.500,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2735,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,282.200,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2822,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,289.400,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2894,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,291.700,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2917,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Approach,,START,300.600,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,3006,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Approach,,STOP,302.899,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,NA,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,302.900,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,3029,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,303.700,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,3037,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,s1_Removed,,POINT,304.100,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,3041,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,s1_Introduced,,POINT,372.500,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,3725,NA,
