Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Subject_Introduced,Not defined,POINT,188.533,188.533,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,2829,2829,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,193.067,197.533,4.466,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,2897,2964,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,203.400,210.467,7.067,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,3052,3158,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,214.200,218.200,4.000,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,3214,3274,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,265.000,266.333,1.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,3976,3996,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Approach,Not defined,STATE,285.933,286.933,1.000,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,4290,4305,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,302.867,310.867,8.000,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,4544,4664,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,338.533,340.267,1.734,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,5079,5105,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,382.200,385.933,3.733,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,5734,5790,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,391.600,395.867,4.267,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,5875,5939,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,404.867,406.133,1.266,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,6074,6093,,,,
p4-240513-082248,2024-07-06 22:26:23,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,612.600,929.333,15.000,Subject,97.865,Defeat,Not defined,STATE,417.600,427.867,10.267,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p4-240513-082248_Cam1.avi,6265,6419,,,,
