Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,s1_Introduced,Not defined,POINT,182.800,182.800,NA,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,1828,1828,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,193.800,200.800,7.000,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,1938,2008,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,203.400,211.100,7.700,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,2034,2111,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,239.300,244.800,5.500,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,2393,2448,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Approach,Not defined,STATE,271.200,272.299,1.099,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,2712,NA,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,272.300,273.200,0.900,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,2723,2732,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,295.900,297.800,1.900,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,2959,2978,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,s1_Removed,Not defined,POINT,303.300,303.300,NA,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,3033,3033,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,s1_Introduced,Not defined,POINT,371.500,371.500,NA,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,3715,3715,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Approach,Not defined,STATE,387.700,389.099,1.399,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,3877,NA,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,389.100,398.900,9.800,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,3891,3989,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,402.100,403.400,1.300,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,4021,4034,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,438.000,442.000,4.000,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,4380,4420,,,,
p6-240821-103616,2024-08-27 15:23:07.854,,Media file,player #1:p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,0.0,1072.100,1322.500,10.000,Subject,80.191,Investigation,Not defined,STATE,488.300,489.800,1.500,p6-240821-103616\8_21_24_Hab_DisHab_P2C2-240821-081258_p6-240821-103616_Cam1.avi,4883,4898,,,,
