Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Introduced,Not defined,POINT,184.000,184.000,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,1840,1840,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,185.200,191.600,6.400,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,1852,1916,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,193.600,194.300,0.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,1936,1943,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,205.300,206.700,1.400,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2053,2067,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,216.000,225.400,9.400,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2160,2254,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,238.400,247.100,8.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2384,2471,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,248.700,257.400,8.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2487,2574,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,262.900,263.900,1.000,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2629,2639,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,271.200,275.000,3.800,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2712,2750,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,276.300,279.600,3.300,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2763,2796,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,280.700,282.600,1.900,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2807,2826,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Approach,Not defined,STATE,287.000,289.999,2.999,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2870,NA,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,290.000,290.700,0.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,2900,2907,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Removed,Not defined,POINT,305.000,305.000,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,3050,3050,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Introduced,Not defined,POINT,372.700,372.700,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,3727,3727,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,396.000,403.000,7.000,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,3960,4030,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,421.000,421.700,0.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,4210,4217,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,444.900,446.400,1.500,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,4449,4464,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,478.400,478.700,0.300,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,4784,4787,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Removed,Not defined,POINT,493.100,493.100,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,4931,4931,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Introduced,Not defined,POINT,562.000,562.000,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,5620,5620,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Approach,Not defined,STATE,563.600,564.599,0.999,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,5636,NA,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,564.600,565.700,1.100,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,5646,5657,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,586.800,587.800,1.000,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,5868,5878,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Approach,Not defined,STATE,613.400,615.199,1.799,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,6134,NA,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,615.200,616.900,1.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,6152,6169,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,618.600,618.900,0.300,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,6186,6189,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,Investigation,Not defined,STATE,626.200,626.900,0.700,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,6262,6269,,,,
p8-240821-121933,2024-08-27 15:56:42.747,,Media file,player #1:p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,0.0,1061.300,1315.100,10.000,Subject,118.394,s1_Removed,Not defined,POINT,682.300,682.300,NA,p8-240821-121933\8_21_24_Hab_DisHab_P2C2-240821-081258_p8-240821-121933_Cam1.avi,6823,6823,,,,
