Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,s1_Introduced,Not defined,POINT,204.067,204.067,NA,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3061,3061,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,212.000,215.200,3.200,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3180,3228,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,218.667,230.400,11.733,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3280,3456,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,233.000,243.667,10.667,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3495,3655,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Approach,Not defined,STATE,245.600,246.266,0.666,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3684,NA,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,246.267,247.133,0.866,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3694,3707,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Approach,Not defined,STATE,254.133,255.532,1.399,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3812,NA,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,255.533,259.800,4.267,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3833,3897,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,261.800,271.400,9.600,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,3927,4071,,,,
p4-240516-083255,2024-06-14 15:21:05.950,,Media file,player #1:p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,0.0,1498.066,1774.000,15.000,Subject,277.189,Investigation,Not defined,STATE,275.933,277.667,1.734,p4-240516-083255\5_7_24_Hab_DisHab_P2-240505-130502_p4-240516-083255_Cam1.avi,4139,4165,,,,
