Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Subject_Introduced,Not defined,POINT,192.200,192.200,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,2884,2884,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,204.467,221.800,17.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,3068,3328,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Approach,Not defined,STATE,230.933,232.199,1.266,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,3465,NA,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Investigation,Not defined,STATE,232.200,232.800,0.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,3484,3493,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,232.800,249.667,16.867,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,3493,3746,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,260.067,267.733,7.666,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,3902,4017,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,303.667,304.933,1.266,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,4556,4575,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,332.933,339.733,6.800,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,4995,5097,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,381.467,382.800,1.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,5723,5743,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,393.600,402.533,8.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,5905,6039,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,502.400,504.333,1.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,7537,7566,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,507.600,514.933,7.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,7615,7725,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Defeat,Not defined,STATE,564.067,566.800,2.733,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,8462,8503,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Approach,Not defined,STATE,717.467,719.332,1.865,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,10763,NA,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Investigation,Not defined,STATE,719.333,720.267,0.934,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,10791,10805,,,,
n3-240513-072339,2024-07-06 20:25:58,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,605.600,932.200,15.000,Subject,76.862,Subject_Removed,Not defined,POINT,797.800,797.800,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n3-240513-072339_Cam1.avi,11968,11968,,,,
