Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Subject_Introduced,Not defined,POINT,185.000,185.000,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,2776,2776,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,188.867,268.800,79.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,2834,4033,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,289.667,292.000,2.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,4346,4381,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,300.467,316.133,15.666,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,4508,4743,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,332.933,334.333,1.400,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,4995,5016,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,378.733,389.400,10.667,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,5682,5842,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,406.600,412.000,5.400,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,6100,6181,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,422.467,425.133,2.666,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,6338,6378,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,441.400,448.333,6.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,6622,6726,,,,
p3-240513-064912,2024-07-06 22:08:49,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,602.600,914.467,15.000,Subject,189.198,Defeat,Not defined,STATE,498.667,507.533,8.866,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p3-240513-064912_Cam1.avi,7481,7614,,,,
