Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,s1_Introduced,Not defined,POINT,180.867,180.867,NA,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,2713,2713,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,185.200,252.867,67.667,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,2778,3793,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,254.933,257.400,2.467,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,3824,3861,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,262.733,272.800,10.067,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,3941,4092,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,274.067,303.666,29.599,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,4111,NA,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,s1_Removed,Not defined,POINT,303.667,303.667,NA,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,4555,4555,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,s1_Introduced,Not defined,POINT,375.333,375.333,NA,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,5630,5630,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,381.133,381.400,0.267,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,5717,5721,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,383.000,404.667,21.667,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,5745,6070,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,406.200,410.933,4.733,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6093,6164,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,414.133,414.933,0.800,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6212,6224,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,436.533,441.467,4.934,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6548,6622,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Approach,Not defined,STATE,451.533,452.732,1.199,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6773,NA,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,452.733,454.000,1.267,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6791,6810,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,462.467,462.733,0.266,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,6937,6941,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,Investigation,Not defined,STATE,494.200,494.466,0.266,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,7413,NA,,,,
n4-240507-140651,2024-06-11 15:13:30.377,,Media file,player #1:n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,0.0,1079.066,1318.200,15.000,Subject,308.321,s1_Removed,Not defined,POINT,494.467,494.467,NA,n4-240507-140651\5_7_24_Hab_DisHab_P2-240505-130502_n4-240507-140651_Cam1.avi,7417,7417,,,,
