Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Introduced,Not defined,POINT,179.867,179.867,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,2698,2698,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,179.933,180.733,0.800,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,2699,2711,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,186.733,187.733,1.000,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,2801,2816,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,197.000,198.466,1.466,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,2955,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,198.467,200.200,1.733,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,2977,3003,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,225.667,226.666,0.999,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,3385,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,226.667,229.267,2.600,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,3400,3439,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,244.200,246.133,1.933,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,3663,3692,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,285.533,286.599,1.066,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,4283,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,286.600,288.800,2.200,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,4299,4332,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Removed,Not defined,POINT,301.800,301.800,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,4527,4527,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Introduced,Not defined,POINT,370.467,370.467,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5557,5557,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,373.200,376.066,2.866,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5598,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,376.067,377.867,1.800,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5641,5668,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,389.267,391.199,1.932,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5839,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,391.200,391.400,0.200,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5868,5871,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,399.533,400.467,0.934,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,5993,6007,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,425.267,426.199,0.932,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,6379,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,426.200,426.733,0.533,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,6393,6401,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,440.467,440.733,0.266,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,6607,6611,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,445.400,445.600,0.200,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,6681,6684,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,450.067,453.467,3.400,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,6751,6802,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Removed,Not defined,POINT,490.133,490.133,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,7352,7352,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Introduced,Not defined,POINT,559.400,559.400,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,8391,8391,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,574.133,575.332,1.199,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,8612,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,575.333,575.800,0.467,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,8630,8637,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,628.267,628.467,0.200,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,9424,9427,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,646.800,647.599,0.799,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,9702,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,647.600,649.200,1.600,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,9714,9738,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,666.400,668.933,2.533,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,9996,10034,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,676.267,680.933,4.666,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,10144,10214,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Removed,Not defined,POINT,681.467,681.467,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,10222,10222,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,s1_Introduced,Not defined,POINT,748.600,748.600,NA,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,11229,11229,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,754.933,755.932,0.999,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,11324,NA,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Investigation,Not defined,STATE,755.933,758.533,2.600,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,11338,11377,,,,
n2-240507-093913,2024-06-09 16:40:07.571,,Media file,player #1:n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,0.0,1263.200,1511.133,15.000,Subject,95.987,Approach,Not defined,STATE,759.000,760.066,1.066,n2-240507-093913\5_7_24_Hab_DisHab_P2-240505-130502_n2-240507-093913_Cam1.avi,11384,NA,,,,
